,date_effet_grille,ib,code_grade_NETNEH,echelon,max_mois,min_mois,moy_mois,libelle_FP,libelle_grade_NEG,code_grade_NEG,code_grade
7613,2006-01-11,281,TTH1,01,12,12,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7614,2006-01-11,287,TTH1,02,24,18,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7615,2006-01-11,293,TTH1,03,24,18,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7616,2006-01-11,298,TTH1,04,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7617,2006-01-11,305,TTH1,05,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7618,2006-01-11,314,TTH1,06,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7619,2006-01-11,324,TTH1,07,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7620,2006-01-11,333,TTH1,08,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7621,2006-01-11,347,TTH1,09,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7622,2006-01-11,364,TTH1,10,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7623,2006-01-11,388,TTH1,11,-1,-1,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7624,2008-01-07,297,TTH1,01,12,12,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7625,2008-01-07,298,TTH1,02,24,18,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7626,2008-01-07,299,TTH1,03,24,18,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7627,2008-01-07,303,TTH1,04,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7628,2008-01-07,310,TTH1,05,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7629,2008-01-07,318,TTH1,06,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7630,2008-01-07,328,TTH1,07,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7631,2008-01-07,337,TTH1,08,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7632,2008-01-07,348,TTH1,09,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7633,2008-01-07,364,TTH1,10,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7634,2008-01-07,388,TTH1,11,-1,-1,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7635,2014-01-02,330,TTH1,01,12,12,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7636,2014-01-02,334,TTH1,02,12,12,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7637,2014-01-02,336,TTH1,03,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7638,2014-01-02,337,TTH1,04,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7639,2014-01-02,339,TTH1,05,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7640,2014-01-02,340,TTH1,06,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7641,2014-01-02,342,TTH1,07,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7642,2014-01-02,349,TTH1,08,36,30,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7643,2014-01-02,358,TTH1,09,36,30,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7644,2014-01-02,374,TTH1,10,48,40,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7645,2014-01-02,393,TTH1,11,-1,-1,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7646,2015-01-01,340,TTH1,01,12,12,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7647,2015-01-01,341,TTH1,02,12,12,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7648,2015-01-01,342,TTH1,03,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7649,2015-01-01,343,TTH1,04,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7650,2015-01-01,347,TTH1,05,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7651,2015-01-01,348,TTH1,06,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7652,2015-01-01,351,TTH1,07,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7653,2015-01-01,356,TTH1,08,36,30,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7654,2015-01-01,364,TTH1,09,36,30,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7655,2015-01-01,380,TTH1,10,48,40,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7656,2015-01-01,400,TTH1,11,-1,-1,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7657,2006-01-11,287,TTH2,01,12,12,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7658,2006-01-11,290,TTH2,02,24,18,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7659,2006-01-11,298,TTH2,03,24,18,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7660,2006-01-11,307,TTH2,04,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7661,2006-01-11,320,TTH2,05,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7662,2006-01-11,333,TTH2,06,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7663,2006-01-11,343,TTH2,07,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7664,2006-01-11,360,TTH2,08,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7665,2006-01-11,374,TTH2,09,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7666,2006-01-11,382,TTH2,10,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7667,2006-01-11,409,TTH2,11,-1,-1,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7668,2008-01-07,298,TTH2,01,12,12,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7669,2008-01-07,299,TTH2,02,24,18,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7670,2008-01-07,303,TTH2,03,24,18,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7671,2008-01-07,310,TTH2,04,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7672,2008-01-07,323,TTH2,05,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7673,2008-01-07,333,TTH2,06,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7674,2008-01-07,347,TTH2,07,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7675,2008-01-07,360,TTH2,08,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7676,2008-01-07,374,TTH2,09,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7677,2008-01-07,389,TTH2,10,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7678,2008-01-07,413,TTH2,11,-1,-1,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7679,2014-01-02,336,TTH2,01,12,12,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7680,2014-01-02,337,TTH2,02,12,12,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7681,2014-01-02,339,TTH2,03,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7682,2014-01-02,340,TTH2,04,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7683,2014-01-02,341,TTH2,05,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7684,2014-01-02,346,TTH2,06,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7685,2014-01-02,349,TTH2,07,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7686,2014-01-02,367,TTH2,08,36,30,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7687,2014-01-02,379,TTH2,09,36,30,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7688,2014-01-02,400,TTH2,10,48,40,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7689,2014-01-02,416,TTH2,11,48,40,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7690,2014-01-02,424,TTH2,12,-1,-1,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7691,2015-01-01,342,TTH2,01,12,12,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7692,2015-01-01,343,TTH2,02,12,12,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7693,2015-01-01,347,TTH2,03,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7694,2015-01-01,348,TTH2,04,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7695,2015-01-01,349,TTH2,05,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7696,2015-01-01,352,TTH2,06,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7697,2015-01-01,356,TTH2,07,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7698,2015-01-01,374,TTH2,08,36,30,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7699,2015-01-01,386,TTH2,09,36,30,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7700,2015-01-01,409,TTH2,10,48,40,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7701,2015-01-01,422,TTH2,11,48,40,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7702,2015-01-01,432,TTH2,12,-1,-1,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 1ERE CLASSE,794,794
7703,2006-01-11,290,TTH3,01,12,12,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7704,2006-01-11,298,TTH3,02,24,18,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7705,2006-01-11,307,TTH3,03,24,18,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7706,2006-01-11,321,TTH3,04,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7707,2006-01-11,334,TTH3,05,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
7708,2006-01-11,347,TTH3,06,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE,795,795
